"Pekař, pekárna, pekařství"|"Mynaříková Lenka - Pekařství ve tvrzi"|"Golčova 1/4"|14800|Praha|"+420 603 805 641"||
"Pekař, pekárna, pekařství"|"PEKAŘSTVÍ KESI - prodejna Vranovice"|"Obchodní 185"|69125|Vranovice|"+420 732 459 403"||
"Pekař, pekárna, pekařství"|"CONSI - veřejná obchodní společnost"|"Mostecká 364"|75501|Vsetín|"+420 571 417 960"||
"Pekař, pekárna, pekařství"|"KLOUČEK + KLOUČKOVÁ, s.r.o. - pekařství a obchod"|"Mostek 119"|54475|Mostek|"+420 499 691 410"||http://www.pekarnamostek.cz
"Pekař, pekárna, pekařství"|"PEKAŘSTVÍ ŠEDĚNKA"|"Zákostelí 612"|73923|"Stará Ves nad Ondřejnicí-Stará Ves"|"+420 558 669 119"||http://www.pekarstvi-sedenka.com
"Pekař, pekárna, pekařství"|"Pekařství Valtice - Jozef Bočinec"|"Lázeňská 288"|69142|Valtice|"+420 777 722 135"||http://www.pekarstvi-valtice.cz
"Pekař, pekárna, pekařství"|"3S pekařství a cukrářství, s.r.o."|"Ondráčkova 228/16"|62800|Brno-Líšeň|"+420 544 211 439"||http://www.3s-pekarstvi-cukrarstvi.cz/
"Pekař, pekárna, pekařství"|"Pekařství - Michal Bešík"|"Luštěnice 414"|29442|Luštěnice-Zelená|"+420 326 357 796"||http://www.pekarstvi-besik.cz
"Pekař, pekárna, pekařství"|"SMÉKALOVO PEKAŘSTVÍ spol. s r.o."|"Šafaříkova 110"|56601|"Vysoké Mýto"|"+420 465 420 273"||http://www.smekalovopekarstvi.cz
"Pekař, pekárna, pekařství"|"Kománek, Řehák a spol. v.o.s."|"č.p. 137"|69674|"Velká nad Veličkou"|"+420 518 329 507"||
"Pekař, pekárna, pekařství"|"Pekařství PEKO - Němečková s.r.o."|"Klatovská třída 36/408"|30100|"Plzeň-Jižní Předměstí"|"+420 377 322 182"||http://www.pekarstvipeko.cz
"Pekař, pekárna, pekařství"|"Bartoňova pekárna s.r.o."|"Jugoslávská 1051/10"|74101|"Nový Jičín"|"+420 552 350 831"||http://www.bartonovapekarna.cz
"Pekař, pekárna, pekařství"|"MARTA spol. s r.o."|"Radima Drejsla 138"|51801|Dobruška|"+420 494 621 790"||
Pečivo|"PEKAŘSTVÍ PERNAREC s.r.o."|"Pernarec 39"|33036|Pernarec|"+420 377 915 081"||http://www.pekarstvi-pernarec.cz
"Pekař, pekárna, pekařství"|"POLMARKUS, s.r.o."|"Sadová 618"|73801|Frýdek-Místek-Frýdek|"+420 558 640 594"||http://www.polmarkus.cz
"Pekař, pekárna, pekařství"|"Pekárna Velíšek"|"Masarykova 350"|39470|"Kamenice nad Lipou"|"+420 565 432 630"||http://www.pekarnavelisek.cz/
"Pekař, pekárna, pekařství"|"Pekařství M a M, s.r.o."|"Žitná 22"|79604|Prostějov|"+420 777 764 178"||http://www.pekarna-prostejov.cz
Pečivo|"DELTA - Šrámek s.r.o."|"Antonína Dvořáka 375/13"|27711|Neratovice|"+420 315 682 574"||
"Cukrářská výroba"|"IREKS ENZYMA s.r.o."|"Kšírova 668/257"|61900|"Brno-Horní Heršpice"|"+420 543 250 155"||http://www.ireks-enzyma.cz
"Pekař, pekárna, pekařství"|"Pekařství - Miroslava Vondrová"|"náměstí Republiky 45"|37333|"Nové Hrady"|"+420 386 362 186"||
"Pekař, pekárna, pekařství"|"Mynaříková Lenka - Pekařství ve tvrzi"|"Golčova 1/4"|14800|Praha|"+420 603 805 641"||
"Pekař, pekárna, pekařství"|"PEKAŘSTVÍ KESI - prodejna Vranovice"|"Obchodní 185"|69125|Vranovice|"+420 732 459 403"||
"Pekař, pekárna, pekařství"|"CONSI - veřejná obchodní společnost"|"Mostecká 364"|75501|Vsetín|"+420 571 417 960"||
"Pekař, pekárna, pekařství"|"KLOUČEK + KLOUČKOVÁ, s.r.o. - pekařství a obchod"|"Mostek 119"|54475|Mostek|"+420 499 691 410"||http://www.pekarnamostek.cz
"Pekař, pekárna, pekařství"|"PEKAŘSTVÍ ŠEDĚNKA"|"Zákostelí 612"|73923|"Stará Ves nad Ondřejnicí-Stará Ves"|"+420 558 669 119"||http://www.pekarstvi-sedenka.com
"Pekař, pekárna, pekařství"|"Pekařství Valtice - Jozef Bočinec"|"Lázeňská 288"|69142|Valtice|"+420 777 722 135"||http://www.pekarstvi-valtice.cz
"Pekař, pekárna, pekařství"|"3S pekařství a cukrářství, s.r.o."|"Ondráčkova 228/16"|62800|Brno-Líšeň|"+420 544 211 439"||http://www.3s-pekarstvi-cukrarstvi.cz/
"Pekař, pekárna, pekařství"|"Pekařství - Michal Bešík"|"Luštěnice 414"|29442|Luštěnice-Zelená|"+420 326 357 796"||http://www.pekarstvi-besik.cz
"Pekař, pekárna, pekařství"|"SMÉKALOVO PEKAŘSTVÍ spol. s r.o."|"Šafaříkova 110"|56601|"Vysoké Mýto"|"+420 465 420 273"||http://www.smekalovopekarstvi.cz
"Pekař, pekárna, pekařství"|"Kománek, Řehák a spol. v.o.s."|"č.p. 137"|69674|"Velká nad Veličkou"|"+420 518 329 507"||
"Pekař, pekárna, pekařství"|"Pekařství PEKO - Němečková s.r.o."|"Klatovská třída 36/408"|30100|"Plzeň-Jižní Předměstí"|"+420 377 322 182"||http://www.pekarstvipeko.cz
"Pekař, pekárna, pekařství"|"Bartoňova pekárna s.r.o."|"Jugoslávská 1051/10"|74101|"Nový Jičín"|"+420 552 350 831"||http://www.bartonovapekarna.cz
"Pekař, pekárna, pekařství"|"MARTA spol. s r.o."|"Radima Drejsla 138"|51801|Dobruška|"+420 494 621 790"||
Pečivo|"PEKAŘSTVÍ PERNAREC s.r.o."|"Pernarec 39"|33036|Pernarec|"+420 377 915 081"||http://www.pekarstvi-pernarec.cz
"Pekař, pekárna, pekařství"|"POLMARKUS, s.r.o."|"Sadová 618"|73801|Frýdek-Místek-Frýdek|"+420 558 640 594"||http://www.polmarkus.cz
"Pekař, pekárna, pekařství"|"Pekárna Velíšek"|"Masarykova 350"|39470|"Kamenice nad Lipou"|"+420 565 432 630"||http://www.pekarnavelisek.cz/
"Pekař, pekárna, pekařství"|"Pekařství M a M, s.r.o."|"Žitná 22"|79604|Prostějov|"+420 777 764 178"||http://www.pekarna-prostejov.cz
Pečivo|"DELTA - Šrámek s.r.o."|"Antonína Dvořáka 375/13"|27711|Neratovice|"+420 315 682 574"||
"Cukrářská výroba"|"IREKS ENZYMA s.r.o."|"Kšírova 668/257"|61900|"Brno-Horní Heršpice"|"+420 543 250 155"||http://www.ireks-enzyma.cz
"Pekař, pekárna, pekařství"|"Pekařství - Miroslava Vondrová"|"náměstí Republiky 45"|37333|"Nové Hrady"|"+420 386 362 186"||
"Pekař, pekárna, pekařství"|"Mynaříková Lenka - Pekařství ve tvrzi"|"Golčova 1/4"|14800|Praha|"+420 603 805 641"||
"Pekař, pekárna, pekařství"|"PEKAŘSTVÍ KESI - prodejna Vranovice"|"Obchodní 185"|69125|Vranovice|"+420 732 459 403"||
"Pekař, pekárna, pekařství"|"CONSI - veřejná obchodní společnost"|"Mostecká 364"|75501|Vsetín|"+420 571 417 960"||
"Pekař, pekárna, pekařství"|"KLOUČEK + KLOUČKOVÁ, s.r.o. - pekařství a obchod"|"Mostek 119"|54475|Mostek|"+420 499 691 410"||http://www.pekarnamostek.cz
"Pekař, pekárna, pekařství"|"PEKAŘSTVÍ ŠEDĚNKA"|"Zákostelí 612"|73923|"Stará Ves nad Ondřejnicí-Stará Ves"|"+420 558 669 119"||http://www.pekarstvi-sedenka.com
"Pekař, pekárna, pekařství"|"Pekařství Valtice - Jozef Bočinec"|"Lázeňská 288"|69142|Valtice|"+420 777 722 135"||http://www.pekarstvi-valtice.cz
"Pekař, pekárna, pekařství"|"3S pekařství a cukrářství, s.r.o."|"Ondráčkova 228/16"|62800|Brno-Líšeň|"+420 544 211 439"||http://www.3s-pekarstvi-cukrarstvi.cz/
"Pekař, pekárna, pekařství"|"Pekařství - Michal Bešík"|"Luštěnice 414"|29442|Luštěnice-Zelená|"+420 326 357 796"||http://www.pekarstvi-besik.cz
"Pekař, pekárna, pekařství"|"SMÉKALOVO PEKAŘSTVÍ spol. s r.o."|"Šafaříkova 110"|56601|"Vysoké Mýto"|"+420 465 420 273"||http://www.smekalovopekarstvi.cz
"Pekař, pekárna, pekařství"|"Kománek, Řehák a spol. v.o.s."|"č.p. 137"|69674|"Velká nad Veličkou"|"+420 518 329 507"||
"Pekař, pekárna, pekařství"|"Pekařství PEKO - Němečková s.r.o."|"Klatovská třída 36/408"|30100|"Plzeň-Jižní Předměstí"|"+420 377 322 182"||http://www.pekarstvipeko.cz
"Pekař, pekárna, pekařství"|"Bartoňova pekárna s.r.o."|"Jugoslávská 1051/10"|74101|"Nový Jičín"|"+420 552 350 831"||http://www.bartonovapekarna.cz
"Pekař, pekárna, pekařství"|"MARTA spol. s r.o."|"Radima Drejsla 138"|51801|Dobruška|"+420 494 621 790"||
Pečivo|"PEKAŘSTVÍ PERNAREC s.r.o."|"Pernarec 39"|33036|Pernarec|"+420 377 915 081"||http://www.pekarstvi-pernarec.cz
"Pekař, pekárna, pekařství"|"POLMARKUS, s.r.o."|"Sadová 618"|73801|Frýdek-Místek-Frýdek|"+420 558 640 594"||http://www.polmarkus.cz
"Pekař, pekárna, pekařství"|"Pekárna Velíšek"|"Masarykova 350"|39470|"Kamenice nad Lipou"|"+420 565 432 630"||http://www.pekarnavelisek.cz/
"Pekař, pekárna, pekařství"|"Pekařství M a M, s.r.o."|"Žitná 22"|79604|Prostějov|"+420 777 764 178"||http://www.pekarna-prostejov.cz
Pečivo|"DELTA - Šrámek s.r.o."|"Antonína Dvořáka 375/13"|27711|Neratovice|"+420 315 682 574"||
"Pekař, pekárna, pekařství"|"Pekařství - Miroslava Vondrová"|"náměstí Republiky 45"|37333|"Nové Hrady"|"+420 386 362 186"||
"Cukrářská výroba"|"IREKS ENZYMA s.r.o."|"Kšírova 668/257"|61900|"Brno-Horní Heršpice"|"+420 543 250 155"||http://www.ireks-enzyma.cz
"Pekař, pekárna, pekařství"|"Mynaříková Lenka - Pekařství ve tvrzi"|"Golčova 1/4"|14800|Praha|"+420 603 805 641"||
"Pekař, pekárna, pekařství"|"KLOUČEK + KLOUČKOVÁ, s.r.o. - pekařství a obchod"|"Mostek 119"|54475|Mostek|"+420 499 691 410"||http://www.pekarnamostek.cz
"Pekař, pekárna, pekařství"|"PEKAŘSTVÍ KESI - prodejna Vranovice"|"Obchodní 185"|69125|Vranovice|"+420 732 459 403"||
"Pekař, pekárna, pekařství"|"CONSI - veřejná obchodní společnost"|"Mostecká 364"|75501|Vsetín|"+420 571 417 960"||
"Pekař, pekárna, pekařství"|"PEKAŘSTVÍ ŠEDĚNKA"|"Zákostelí 612"|73923|"Stará Ves nad Ondřejnicí-Stará Ves"|"+420 558 669 119"||http://www.pekarstvi-sedenka.com
"Pekař, pekárna, pekařství"|"Pekařství Valtice - Jozef Bočinec"|"Lázeňská 288"|69142|Valtice|"+420 777 722 135"||http://www.pekarstvi-valtice.cz
"Pekař, pekárna, pekařství"|"3S pekařství a cukrářství, s.r.o."|"Ondráčkova 228/16"|62800|Brno-Líšeň|"+420 544 211 439"||http://www.3s-pekarstvi-cukrarstvi.cz/
"Pekař, pekárna, pekařství"|"Pekařství - Michal Bešík"|"Luštěnice 414"|29442|Luštěnice-Zelená|"+420 326 357 796"||http://www.pekarstvi-besik.cz
"Pekař, pekárna, pekařství"|"SMÉKALOVO PEKAŘSTVÍ spol. s r.o."|"Šafaříkova 110"|56601|"Vysoké Mýto"|"+420 465 420 273"||http://www.smekalovopekarstvi.cz
"Pekař, pekárna, pekařství"|"Kománek, Řehák a spol. v.o.s."|"č.p. 137"|69674|"Velká nad Veličkou"|"+420 518 329 507"||
"Pekař, pekárna, pekařství"|"Pekařství PEKO - Němečková s.r.o."|"Klatovská třída 36/408"|30100|"Plzeň-Jižní Předměstí"|"+420 377 322 182"||http://www.pekarstvipeko.cz
"Pekař, pekárna, pekařství"|"Bartoňova pekárna s.r.o."|"Jugoslávská 1051/10"|74101|"Nový Jičín"|"+420 552 350 831"||http://www.bartonovapekarna.cz
"Pekař, pekárna, pekařství"|"MARTA spol. s r.o."|"Radima Drejsla 138"|51801|Dobruška|"+420 494 621 790"||
Pečivo|"PEKAŘSTVÍ PERNAREC s.r.o."|"Pernarec 39"|33036|Pernarec|"+420 377 915 081"||http://www.pekarstvi-pernarec.cz
"Pekař, pekárna, pekařství"|"POLMARKUS, s.r.o."|"Sadová 618"|73801|Frýdek-Místek-Frýdek|"+420 558 640 594"||http://www.polmarkus.cz
"Pekař, pekárna, pekařství"|"Pekárna Velíšek"|"Masarykova 350"|39470|"Kamenice nad Lipou"|"+420 565 432 630"||http://www.pekarnavelisek.cz/
"Pekař, pekárna, pekařství"|"Pekařství M a M, s.r.o."|"Žitná 22"|79604|Prostějov|"+420 777 764 178"||http://www.pekarna-prostejov.cz
Pečivo|"DELTA - Šrámek s.r.o."|"Antonína Dvořáka 375/13"|27711|Neratovice|"+420 315 682 574"||
"Pekař, pekárna, pekařství"|"Pekařství - Miroslava Vondrová"|"náměstí Republiky 45"|37333|"Nové Hrady"|"+420 386 362 186"||
"Cukrářská výroba"|"IREKS ENZYMA s.r.o."|"Kšírova 668/257"|61900|"Brno-Horní Heršpice"|"+420 543 250 155"||http://www.ireks-enzyma.cz
"Pekař, pekárna, pekařství"|"Mynaříková Lenka - Pekařství ve tvrzi"|"Golčova 1/4"|14800|Praha|"+420 603 805 641"||
"Pekař, pekárna, pekařství"|"KLOUČEK + KLOUČKOVÁ, s.r.o. - pekařství a obchod"|"Mostek 119"|54475|Mostek|"+420 499 691 410"||http://www.pekarnamostek.cz
"Pekař, pekárna, pekařství"|"PEKAŘSTVÍ KESI - prodejna Vranovice"|"Obchodní 185"|69125|Vranovice|"+420 732 459 403"||
"Pekař, pekárna, pekařství"|"CONSI - veřejná obchodní společnost"|"Mostecká 364"|75501|Vsetín|"+420 571 417 960"||
"Pekař, pekárna, pekařství"|"PEKAŘSTVÍ ŠEDĚNKA"|"Zákostelí 612"|73923|"Stará Ves nad Ondřejnicí-Stará Ves"|"+420 558 669 119"||http://www.pekarstvi-sedenka.com
"Pekař, pekárna, pekařství"|"Pekařství Valtice - Jozef Bočinec"|"Lázeňská 288"|69142|Valtice|"+420 777 722 135"||http://www.pekarstvi-valtice.cz
"Pekař, pekárna, pekařství"|"3S pekařství a cukrářství, s.r.o."|"Ondráčkova 228/16"|62800|Brno-Líšeň|"+420 544 211 439"||http://www.3s-pekarstvi-cukrarstvi.cz/
"Pekař, pekárna, pekařství"|"Pekařství - Michal Bešík"|"Luštěnice 414"|29442|Luštěnice-Zelená|"+420 326 357 796"||http://www.pekarstvi-besik.cz
"Pekař, pekárna, pekařství"|"SMÉKALOVO PEKAŘSTVÍ spol. s r.o."|"Šafaříkova 110"|56601|"Vysoké Mýto"|"+420 465 420 273"||http://www.smekalovopekarstvi.cz
"Pekař, pekárna, pekařství"|"Kománek, Řehák a spol. v.o.s."|"č.p. 137"|69674|"Velká nad Veličkou"|"+420 518 329 507"||
"Pekař, pekárna, pekařství"|"Pekařství PEKO - Němečková s.r.o."|"Klatovská třída 36/408"|30100|"Plzeň-Jižní Předměstí"|"+420 377 322 182"||http://www.pekarstvipeko.cz
"Pekař, pekárna, pekařství"|"Bartoňova pekárna s.r.o."|"Jugoslávská 1051/10"|74101|"Nový Jičín"|"+420 552 350 831"||http://www.bartonovapekarna.cz
"Pekař, pekárna, pekařství"|"MARTA spol. s r.o."|"Radima Drejsla 138"|51801|Dobruška|"+420 494 621 790"||
Pečivo|"PEKAŘSTVÍ PERNAREC s.r.o."|"Pernarec 39"|33036|Pernarec|"+420 377 915 081"||http://www.pekarstvi-pernarec.cz
"Pekař, pekárna, pekařství"|"POLMARKUS, s.r.o."|"Sadová 618"|73801|Frýdek-Místek-Frýdek|"+420 558 640 594"||http://www.polmarkus.cz
"Pekař, pekárna, pekařství"|"Pekárna Velíšek"|"Masarykova 350"|39470|"Kamenice nad Lipou"|"+420 565 432 630"||http://www.pekarnavelisek.cz/
"Pekař, pekárna, pekařství"|"Pekařství M a M, s.r.o."|"Žitná 22"|79604|Prostějov|"+420 777 764 178"||http://www.pekarna-prostejov.cz
Pečivo|"DELTA - Šrámek s.r.o."|"Antonína Dvořáka 375/13"|27711|Neratovice|"+420 315 682 574"||
"Cukrářská výroba"|"IREKS ENZYMA s.r.o."|"Kšírova 668/257"|61900|"Brno-Horní Heršpice"|"+420 543 250 155"||http://www.ireks-enzyma.cz
"Pekař, pekárna, pekařství"|"Pekařství - Miroslava Vondrová"|"náměstí Republiky 45"|37333|"Nové Hrady"|"+420 386 362 186"||
"Pekař, pekárna, pekařství"|"Mynaříková Lenka - Pekařství ve tvrzi"|"Golčova 1/4"|14800|Praha|"+420 603 805 641"||
"Pekař, pekárna, pekařství"|"PEKAŘSTVÍ KESI - prodejna Vranovice"|"Obchodní 185"|69125|Vranovice|"+420 732 459 403"||
"Pekař, pekárna, pekařství"|"CONSI - veřejná obchodní společnost"|"Mostecká 364"|75501|Vsetín|"+420 571 417 960"||
"Pekař, pekárna, pekařství"|"KLOUČEK + KLOUČKOVÁ, s.r.o. - pekařství a obchod"|"Mostek 119"|54475|Mostek|"+420 499 691 410"||http://www.pekarnamostek.cz
"Pekař, pekárna, pekařství"|"PEKAŘSTVÍ ŠEDĚNKA"|"Zákostelí 612"|73923|"Stará Ves nad Ondřejnicí-Stará Ves"|"+420 558 669 119"||http://www.pekarstvi-sedenka.com
"Pekař, pekárna, pekařství"|"Pekařství Valtice - Jozef Bočinec"|"Lázeňská 288"|69142|Valtice|"+420 777 722 135"||http://www.pekarstvi-valtice.cz
"Pekař, pekárna, pekařství"|"3S pekařství a cukrářství, s.r.o."|"Ondráčkova 228/16"|62800|Brno-Líšeň|"+420 544 211 439"||http://www.3s-pekarstvi-cukrarstvi.cz/
"Pekař, pekárna, pekařství"|"Pekařství - Michal Bešík"|"Luštěnice 414"|29442|Luštěnice-Zelená|"+420 326 357 796"||http://www.pekarstvi-besik.cz
"Pekař, pekárna, pekařství"|"SMÉKALOVO PEKAŘSTVÍ spol. s r.o."|"Šafaříkova 110"|56601|"Vysoké Mýto"|"+420 465 420 273"||http://www.smekalovopekarstvi.cz
"Pekař, pekárna, pekařství"|"Kománek, Řehák a spol. v.o.s."|"č.p. 137"|69674|"Velká nad Veličkou"|"+420 518 329 507"||
"Pekař, pekárna, pekařství"|"Pekařství PEKO - Němečková s.r.o."|"Klatovská třída 36/408"|30100|"Plzeň-Jižní Předměstí"|"+420 377 322 182"||http://www.pekarstvipeko.cz
"Pekař, pekárna, pekařství"|"Bartoňova pekárna s.r.o."|"Jugoslávská 1051/10"|74101|"Nový Jičín"|"+420 552 350 831"||http://www.bartonovapekarna.cz
"Pekař, pekárna, pekařství"|"MARTA spol. s r.o."|"Radima Drejsla 138"|51801|Dobruška|"+420 494 621 790"||
Pečivo|"PEKAŘSTVÍ PERNAREC s.r.o."|"Pernarec 39"|33036|Pernarec|"+420 377 915 081"||http://www.pekarstvi-pernarec.cz
"Pekař, pekárna, pekařství"|"POLMARKUS, s.r.o."|"Sadová 618"|73801|Frýdek-Místek-Frýdek|"+420 558 640 594"||http://www.polmarkus.cz
"Pekař, pekárna, pekařství"|"Pekárna Velíšek"|"Masarykova 350"|39470|"Kamenice nad Lipou"|"+420 565 432 630"||http://www.pekarnavelisek.cz/
"Pekař, pekárna, pekařství"|"Pekařství M a M, s.r.o."|"Žitná 22"|79604|Prostějov|"+420 777 764 178"||http://www.pekarna-prostejov.cz
Pečivo|"DELTA - Šrámek s.r.o."|"Antonína Dvořáka 375/13"|27711|Neratovice|"+420 315 682 574"||
"Cukrářská výroba"|"IREKS ENZYMA s.r.o."|"Kšírova 668/257"|61900|"Brno-Horní Heršpice"|"+420 543 250 155"||http://www.ireks-enzyma.cz
"Pekař, pekárna, pekařství"|"Pekařství - Miroslava Vondrová"|"náměstí Republiky 45"|37333|"Nové Hrady"|"+420 386 362 186"||
"Pekař, pekárna, pekařství"|"Mynaříková Lenka - Pekařství ve tvrzi"|"Golčova 1/4"|14800|Praha|"+420 603 805 641"||
"Pekař, pekárna, pekařství"|"CONSI - veřejná obchodní společnost"|"Mostecká 364"|75501|Vsetín|"+420 571 417 960"||
"Pekař, pekárna, pekařství"|"KLOUČEK + KLOUČKOVÁ, s.r.o. - pekařství a obchod"|"Mostek 119"|54475|Mostek|"+420 499 691 410"||http://www.pekarnamostek.cz
"Pekař, pekárna, pekařství"|"PEKAŘSTVÍ KESI - prodejna Vranovice"|"Obchodní 185"|69125|Vranovice|"+420 732 459 403"||
"Pekař, pekárna, pekařství"|"PEKAŘSTVÍ ŠEDĚNKA"|"Zákostelí 612"|73923|"Stará Ves nad Ondřejnicí-Stará Ves"|"+420 558 669 119"||http://www.pekarstvi-sedenka.com
"Pekař, pekárna, pekařství"|"Pekařství Valtice - Jozef Bočinec"|"Lázeňská 288"|69142|Valtice|"+420 777 722 135"||http://www.pekarstvi-valtice.cz
"Pekař, pekárna, pekařství"|"3S pekařství a cukrářství, s.r.o."|"Ondráčkova 228/16"|62800|Brno-Líšeň|"+420 544 211 439"||http://www.3s-pekarstvi-cukrarstvi.cz/
"Pekař, pekárna, pekařství"|"Pekařství - Michal Bešík"|"Luštěnice 414"|29442|Luštěnice-Zelená|"+420 326 357 796"||http://www.pekarstvi-besik.cz
"Pekař, pekárna, pekařství"|"SMÉKALOVO PEKAŘSTVÍ spol. s r.o."|"Šafaříkova 110"|56601|"Vysoké Mýto"|"+420 465 420 273"||http://www.smekalovopekarstvi.cz
"Pekař, pekárna, pekařství"|"Pekařství PEKO - Němečková s.r.o."|"Klatovská třída 36/408"|30100|"Plzeň-Jižní Předměstí"|"+420 377 322 182"||http://www.pekarstvipeko.cz
"Pekař, pekárna, pekařství"|"Kománek, Řehák a spol. v.o.s."|"č.p. 137"|69674|"Velká nad Veličkou"|"+420 518 329 507"||
"Pekař, pekárna, pekařství"|"Bartoňova pekárna s.r.o."|"Jugoslávská 1051/10"|74101|"Nový Jičín"|"+420 552 350 831"||http://www.bartonovapekarna.cz
"Pekař, pekárna, pekařství"|"MARTA spol. s r.o."|"Radima Drejsla 138"|51801|Dobruška|"+420 494 621 790"||
Pečivo|"PEKAŘSTVÍ PERNAREC s.r.o."|"Pernarec 39"|33036|Pernarec|"+420 377 915 081"||http://www.pekarstvi-pernarec.cz
"Pekař, pekárna, pekařství"|"POLMARKUS, s.r.o."|"Sadová 618"|73801|Frýdek-Místek-Frýdek|"+420 558 640 594"||http://www.polmarkus.cz
"Pekař, pekárna, pekařství"|"Pekárna Velíšek"|"Masarykova 350"|39470|"Kamenice nad Lipou"|"+420 565 432 630"||http://www.pekarnavelisek.cz/
